sci_data_set_name,sci_targname,sci_ra,sci_dec,sci_refnum,sci_start_time,sci_stop_time,sci_actual_duration,sci_instrume,sci_aper_1234,sci_spec_1234,sci_central_wavelength,sci_pep_id,sci_pi_last_name,sci_release_date,sci_preview_name,scp_scan_type,sci_hlsp
J9EM18EDQ,SDSSJ0742+3450,115.716,34.83383333333,27,2006-09-19T05:30:49.153000,2006-09-19T05:37:50.167000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1606,10587,BOLTON,2007-09-19T14:59:04.233000,J9EM18EDQ,,
J9EM43WAQ,SDSSJ0758+3034,119.6445,30.57869444444,27,2006-01-15T08:12:38.773000,2006-01-15T08:19:39.820000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2588,10587,BOLTON,2007-01-15T17:43:59.047000,J9EM43WAQ,,
J9EM43WBQ,SDSSJ0758+3034,119.6445,30.57869444444,27,2006-01-15T08:22:16.757000,2006-01-15T08:29:17.803000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.8696,10587,BOLTON,2007-01-15T17:53:38.873000,J9EM43WBQ,,
J9OP07010,SDSSJ0808+4706,122.2448628206,47.11080393226,40,2006-09-17T02:11:36.127000,2006-09-17T02:55:05.177000,2140.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1587,10886,BOLTON,2006-09-17T23:03:21,J9OP07010,,
J9OP08010,SDSSJ0822+2652,125.6762957008,26.87873520538,40,2006-12-06T16:27:57.280000,2006-12-06T17:10:54.297000,2108.0,ACS   ,WFC1,CLEAR1L;F814W,8045.2158,10886,BOLTON,2006-12-07T20:23:07,J9OP08010,,
J9OP09010,SDSSJ0841+3824,130.369995241,38.40380086567,40,2006-10-04T19:23:03.167000,2006-10-04T20:06:08.217000,2116.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1714,10886,BOLTON,2006-10-05T12:18:40,J9OP09010,,
J9EM46T9Q,SDSSJ0847+0318,131.7787083333,3.30625,27,2006-01-14T08:18:04.757000,2006-01-14T08:25:05.803000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2588,10587,BOLTON,2007-01-14T10:52:46.700000,J9EM46T9Q,,
J9EM46TAQ,SDSSJ0847+0318,131.7787083333,3.30625,27,2006-01-14T08:27:42.773000,2006-01-14T08:34:43.820000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.8691,10587,BOLTON,2007-01-14T15:18:16.570000,J9EM46TAQ,,
J9OP11010,SDSSJ0903+3139,135.8312946046,31.66420612797,40,2006-12-13T08:25:56.257000,2006-12-13T10:13:51.320000,2108.0,ACS   ,WFC1,CLEAR1L;F814W,8045.2202,10886,BOLTON,2006-12-13T21:54:14,J9OP11010,,
J9OP10010,SDSSJ0903+4116,135.8132432128,41.26919005314,40,2006-10-09T01:41:26.177000,2006-10-09T02:24:43.223000,2128.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1743,10886,BOLTON,2006-10-09T10:42:44,J9OP10010,,
J9OP12010,SDSSJ0910+0520,137.7212550724,5.339773526671,40,2006-12-13T05:13:03.267000,2006-12-13T06:55:05.307000,2088.0,ACS   ,WFC1,CLEAR1L;F814W,8045.2202,10886,BOLTON,2006-12-13T19:29:44,J9OP12010,,
J9EM05HAQ,SDSSJ0912+4136,138.1845833333,41.61027777778,27,2006-05-26T22:41:33.973000,2006-05-26T22:48:35.023000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.9619,10587,BOLTON,2007-05-27T02:03:58.033000,J9EM05HAQ,,
J9EM66BDQ,SDSSJ0925+0814,141.4972916667,8.236611111111,27,2005-11-21T07:38:31.537000,2005-11-21T07:45:32.583000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.251,10587,BOLTON,2006-11-21T12:19:26.710000,J9EM66BDQ,,
J9EM66BEQ,SDSSJ0925+0814,141.4972916667,8.236611111111,27,2005-11-21T07:48:09.553000,2005-11-21T07:55:10.567000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.8315,10587,BOLTON,2006-11-21T12:29:42.807000,J9EM66BEQ,,
J9EM28IYQ,SDSSJ0934+6034,143.60475,60.57308333333,27,2006-05-27T06:41:16.983000,2006-05-27T06:48:18.030000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.9619,10587,BOLTON,2007-05-27T12:16:23.643000,J9EM28IYQ,,
J9OP13010,SDSSJ0936+0913,144.0031716968,9.226604955342,40,2006-12-09T10:13:29.280000,2006-12-09T12:00:54.297000,2088.0,ACS   ,WFC1,CLEAR1L;F814W,8045.2178,10886,BOLTON,2006-12-10T04:20:00,J9OP13010,,
J9OP14010,SDSSJ0946+1006,146.7361302108,10.11465907913,40,2006-11-03T03:04:51.183000,2006-11-03T04:55:06.217000,2096.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1919,10886,BOLTON,2006-11-03T22:27:25,J9OP14010,,
J9EM37E8Q,SDSSJ0955+0101,148.8321666667,1.029,27,2006-01-31T08:08:54.800000,2006-01-31T08:15:55.847000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2612,10587,BOLTON,2007-01-31T17:42:09.383000,J9EM37E8Q,,
J9EM37E9Q,SDSSJ0955+0101,148.8321666667,1.029,27,2006-01-31T08:18:32.817000,2006-01-31T08:25:33.863000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.8809,10587,BOLTON,2007-01-31T17:42:20.213000,J9EM37E9Q,,
J9OP15010,SDSSJ0959+4416,149.7539546447,44.27759404853,40,2006-12-12T13:17:57.280000,2006-12-12T14:56:12.313000,2128.0,ACS   ,WFC1,CLEAR1L;F814W,8045.2197,10886,BOLTON,2006-12-13T02:48:40,J9OP15010,,
J9OP16010,SDSSJ1016+3859,154.0952029772,38.98425309631,40,2006-10-19T09:29:54.190000,2006-10-19T09:38:44.327000,0.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1816,10886,BOLTON,2006-10-20T02:23:10,J9OP16010,,
J9OPA6010,SDSSJ1016+3859-COPY,154.095202899,38.98424773271,40,2006-12-14T08:23:38.273000,2006-12-14T08:43:53.307000,1058.0,ACS   ,WFC1,CLEAR1L;F814W,8045.2212,10886,BOLTON,2006-12-15T14:56:11,J9OPA6010,,
