data_set_name,target_name,ra,dec,start_time,stop_time,actual_duration,instrument,aper,spec,central_wavelength,release_date,preview_name,filename,data_uri,cutout,peak_value,fits_filepath,cutout_filepath
J93I14E7Q,0617-52072-561,236.8800833333,57.33329166667,2004-10-29T03:41:42.960000,2004-10-29T03:48:44.007000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1968,2005-04-30T14:44:31,J93I14E7Q,j93i14e7q_drz.fits,mast:HST/product/j93i14e7q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i14e7q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I14E7Q.fits
J93I14E8Q,0617-52072-561,236.8800833333,57.33329166667,2004-10-29T03:51:20.977000,2004-10-29T03:58:21.990000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5596,2005-04-30T14:50:32,J93I14E8Q,j93i14e8q_drz.fits,mast:HST/product/j93i14e8q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i14e8q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I14E8Q.fits
J93I42CLQ,0626-52057-518,247.6173333333,45.34341111111,2004-10-04T21:25:45.927000,2004-10-04T21:32:46.977000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1934,2005-04-06T04:21:26,J93I42CLQ,j93i42clq_drz.fits,mast:HST/product/j93i42clq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i42clq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I42CLQ.fits
J93I42CMQ,0626-52057-518,247.6173333333,45.34341111111,2004-10-04T21:35:23.913000,2004-10-04T21:42:24.960000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.543,2005-04-06T04:27:26,J93I42CMQ,j93i42cmq_drz.fits,mast:HST/product/j93i42cmq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i42cmq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I42CMQ.fits
J93I10EBQ,0627-52144-464,249.0109166667,47.12488055556,2004-10-29T04:16:54.960000,2004-10-29T04:23:56.007000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1968,2005-04-30T14:56:29,J93I10EBQ,j93i10ebq_drz.fits,mast:HST/product/j93i10ebq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i10ebq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I10EBQ.fits
J93I10ECQ,0627-52144-464,249.0109166667,47.12488055556,2004-10-29T04:26:32.977000,2004-10-29T04:33:33.990000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5601,2005-04-30T15:03:01,J93I10ECQ,j93i10ecq_drz.fits,mast:HST/product/j93i10ecq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i10ecq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I10ECQ.fits
J93I39A7Q,0645-52203-517,350.3372083333,-9.652852777778,2004-09-06T01:31:25.893000,2004-09-06T01:38:26.940000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.189,2005-03-09T13:38:50,J93I39A7Q,j93i39a7q_drz.fits,mast:HST/product/j93i39a7q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i39a7q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I39A7Q.fits
J93I39A8Q,0645-52203-517,350.3372083333,-9.652852777778,2004-09-06T01:41:03.877000,2004-09-06T01:48:04.923000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5225,2005-03-09T18:27:14,J93I39A8Q,j93i39a8q_drz.fits,mast:HST/product/j93i39a8q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i39a8q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I39A8Q.fits
J93I44EKQ,0655-52162-392,9.47175,-9.705594444444,2004-09-18T01:19:57.757000,2004-09-18T01:26:58.687000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1909,2005-03-20T06:18:15,J93I44EKQ,j93i44ekq_drz.fits,mast:HST/product/j93i44ekq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i44ekq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I44EKQ.fits
J93I44ELQ,0655-52162-392,9.47175,-9.705594444444,2004-09-18T01:29:35.807000,2004-09-18T01:36:36.737000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5312,2005-03-20T10:37:02,J93I44ELQ,j93i44elq_drz.fits,mast:HST/product/j93i44elq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i44elq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I44ELQ.fits
J93I27KTQ,0668-52162-428,34.218875,-8.229288888889,2005-01-05T11:41:42.073000,2005-01-05T11:48:43.120000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2061,2005-07-07T21:13:26,J93I27KTQ,j93i27ktq_drz.fits,mast:HST/product/j93i27ktq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i27ktq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I27KTQ.fits
J93I27KUQ,0668-52162-428,34.218875,-8.229288888889,2005-01-05T11:51:20.057000,2005-01-05T11:58:21.107000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6074,2005-07-07T21:13:42,J93I27KUQ,j93i27kuq_drz.fits,mast:HST/product/j93i27kuq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i27kuq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I27KUQ.fits
J93I28BKQ,0677-52606-520,345.2214583333,0.3772083333333,2005-01-03T06:57:30.073000,2005-01-03T07:04:31.120000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2061,2005-07-05T14:10:10,J93I28BKQ,j93i28bkq_drz.fits,mast:HST/product/j93i28bkq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i28bkq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I28BKQ.fits
J93I28BLQ,0677-52606-520,345.2214583333,0.3772083333333,2005-01-03T07:07:08.057000,2005-01-03T07:14:09.107000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.606,2005-07-05T14:25:46,J93I28BLQ,j93i28blq_drz.fits,mast:HST/product/j93i28blq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i28blq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I28BLQ.fits
J93I48M5Q,0684-52523-311,356.8670416667,-0.08924166666667,2004-12-23T15:01:32.020000,2004-12-23T15:08:33.070000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2046,2005-06-24T22:07:57,J93I48M5Q,j93i48m5q_drz.fits,mast:HST/product/j93i48m5q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i48m5q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I48M5Q.fits
J93I48M6Q,0684-52523-311,356.8670416667,-0.08924166666667,2004-12-23T15:11:10.037000,2004-12-23T15:18:11.087000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5986,2005-06-24T22:13:28,J93I48M6Q,j93i48m6q_drz.fits,mast:HST/product/j93i48m6q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i48m6q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I48M6Q.fits
J93I06EYQ,0717-52468-165,330.5763333333,-8.780002777778,2005-04-15T10:29:46.180000,2005-04-15T10:36:47.227000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2202,2005-10-15T18:49:14,J93I06EYQ,j93i06eyq_drz.fits,mast:HST/product/j93i06eyq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i06eyq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I06EYQ.fits
J93I06EZQ,0717-52468-165,330.5763333333,-8.780002777778,2005-04-15T10:39:24.163000,2005-04-15T10:46:25.210000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6777,2005-10-16T04:56:29,J93I06EZQ,j93i06ezq_drz.fits,mast:HST/product/j93i06ezq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i06ezq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I06EZQ.fits
