recno,SDSS,Plate,MJD,Fiber,zFG,zBG,Imag,n_Imag,AI,Name,L(V555),Re,Le2/LdV,b/a,PA,sigma,e_sigma,Mph,Mul,Lens,n_Lens,_RA,_DE
70,124426.03+011146.8,291,51928,528,0.0725,0.56,15.21,s,0.03,J1244+0111,39.2,2.83,0.32,0.7,106.9,172,9,L,S,X, ,191.10846,1.19633
71,125028.26+052349.1,847,52426,549,0.2318,0.7953,16.7,d,0.05,J1250+0523,115.4,1.81,0.31,0.97,114.8,252,14,E,S,A, ,192.61775,5.39697
72,125050.52-013531.7,337,51997,460,0.0871,0.3526,15.14,s,0.04,J1250-0135,61.7,2.93,0.317,0.72,125.3,246,12,U,S,A,*,192.7105,-1.59214
73,125135.71-020805.2,337,51997,480,0.2243,0.7843,17.25,s,0.04,J1251-0208,63.8,2.61,0.299,0.51,39.5,,,L,S,A, ,192.89879,-2.13478
74,125919.05+613408.6,783,52325,279,0.2334,0.4488,16.85,s,0.02,J1259+6134,98.9,1.81,0.314,0.79,96.1,253,16,E,S,A,*,194.82937,61.56906
75,131326.70+050657.2,851,52376,344,0.1438,0.3385,17.1,s,0.06,J1313+0506,29.4,0.86,0.311,0.45,74.9,221,17,L,S,B, ,198.36125,5.11589
76,133045.53-014841.6,910,52377,503,0.0808,0.7115,16.99,s,0.07,J1330-0148,9.8,0.89,0.315,0.46,103.6,185,9,E,S,B, ,202.68971,-1.81156
77,134308.25+602755.0,786,52319,236,0.1198,0.3199,16.3,s,0.03,J1343+6027,40.6,2.07,0.31,0.52,153.1,178,10,L,S,X, ,205.78437,60.46528
78,134309.22+605209.7,786,52319,193,0.0343,0.088,13.64,s,0.03,J1343+6052,35.8,4.91,0.322,0.49,5.1,206,10,E,S,X, ,205.78842,60.86936
79,140228.21+632133.5,605,52353,503,0.2046,0.4814,16.33,d,0.03,J1402+6321,122.1,2.7,0.316,0.77,70.8,267,17,E,S,A, ,210.61754,63.35931
80,140329.49+000641.4,302,51688,354,0.1888,0.473,17.11,s,0.08,J1403+0006,52.8,1.46,0.317,0.81,110.5,213,17,E,S,A, ,210.87287,0.1115
81,141622.34+513630.4,1045,52725,464,0.2987,0.8111,17.57,d,0.02,J1416+5136,87.5,1.43,0.326,0.76,23.4,240,25,E,S,A, ,214.09308,51.60844
