Lens system,Survey,theta_E,sig_theta_E_up,sig_theta_E_low,gamma,sig_gamma_up,sig_gamma_low,sig_gamma_sys,q_m,sig_q_m_up,sig_q_m_low,phi_m,sig_phi_m_up,sig_phi_m_low,gamma_shear,sig_gamma_shear_up,sig_gamma_shear_low,phi_shear,sig_phi_shear_hi,sig_phi_shear_low,q_L,sig_q_L_up,sig_q_L_low,phi_L,sig_phi_L_up,sig_phi_L_low,R_eff,sig_R_eff_up,sig_R_eff_low,z_lens,z_source,sigma_los,sig_sigma_los,slit_shape,slit radius,slit_width,slit_length,seeing
SDSSJ1306+0600,SLACS,1.312,0.006,0.006,1.97,0.06,0.05,0.04,0.87,0.01,0.01,-46,5,4,0.008,0.008,0.006,-8,24,24,0.904,0.002,0.002,-50.3,0.8,0.7,2.369,0.007,0.005,0.17,0.47,247,13,Circular,1.5,--,--,1.4
SDSSJ1313+4615,SLACS,1.29,0.006,0.005,2.18,0.02,0.02,0.08,0.76,0.03,0.02,20,3,2,0.032,0.006,0.006,-6,7,6,0.794,0.002,0.001,32.4,0.2,0.2,2.17,0.006,0.004,0.19,0.51,258,12,Circular,1.5,--,--,1.4
SDSSJ1402+6321,SLACS,1.371,0.004,0.001,1.57,0.5,0.04,0.13,1,0,0.18,28,6,17,0.006,0.001,0.002,-27,29,4,0.746,0.012,0.002,20,0.2,1.4,2.72,0.005,0.007,0.21,0.48,273,11,Circular,1.5,--,--,1.4
SDSSJ1531-0105,SLACS,1.712,0.004,0.009,2.07,0.12,0.1,0.23,0.68,0.02,0.02,-55,1,1,0.029,0.012,0.023,-58,7,9,0.668,0.001,0.001,-55,0.1,0.1,3.416,0.019,0.019,0.16,0.74,261,10,Circular,1.5,--,--,1.4
SDSSJ1621+3931,SLACS,1.266,0.004,0.004,2.02,0.06,0.06,0.04,0.76,0.02,0.02,-44,3,3,0.014,0.007,0.008,2,19,18,0.729,0.002,0.002,-52.6,0.2,0.2,2.402,0.008,0.008,0.25,0.6,233,14,Circular,1.5,--,--,1.4
SDSSJ1627-0053,SLACS,1.221,0.001,0.001,1.93,0.04,0.05,0.13,0.83,0,0,84,1,1,0.034,0.003,0.002,89,1,1,0.822,0.001,0.001,86.6,0.2,0.2,2.981,0.055,0.054,0.21,0.52,274,10,Circular,1.5,--,--,1.4
SDSSJ1630+4520,SLACS,1.791,0.001,0.001,1.92,0.02,0.02,0.08,0.82,0,0,16,1,1,0.026,0.002,0.002,18,2,1,0.832,0.001,0.001,19.1,0.2,0.2,2.012,0.006,0.005,0.25,0.79,282,13,Circular,1.5,--,--,1.4
SDSSJ1636+4707,SLACS,1.084,0.002,0.003,1.75,0.27,0.04,0.07,0.88,0.03,0.15,-23,16,7,0.029,0.008,0.026,-77,42,9,0.823,0.003,0.011,-15.7,1.9,0.6,1.837,0.003,0.003,0.23,0.68,223,10,Circular,1.5,--,--,1.4
SDSSJ2238-0754,SLACS,1.27,0.001,0.001,2.34,0.03,0.04,0.12,0.72,0.02,0.01,-46,1,1,0.002,0.002,0.001,85,41,26,0.775,0.001,0.001,-51.1,0.1,0.2,2.52,0.004,0.006,0.14,0.71,225,8,Circular,1.5,--,--,1.4
SDSSJ2300+0022,SLACS,1.232,0.004,0.004,1.66,0.12,0.09,0.19,0.79,0.01,0.02,17,1,2,0.044,0.005,0.005,40,9,5,0.797,0.002,0.002,4.5,0.2,0.2,1.815,0.007,0.007,0.23,0.46,299,13,Circular,1.5,--,--,1.4
SDSSJ2302-0840,SLACS,1.038,0.001,0.001,2.6,0.02,0.02,0.08,0.66,0.01,0.02,-74,1,2,0.01,0.003,0.003,47,9,7,0.831,0.001,0.001,-75.7,0.2,0.2,4.199,0.035,0.035,0.09,0.22,259,6,Circular,1.5,--,--,1.4
